k x y
P_exp 988.244 W+IMin+POD+BIO+FC
P_exp 988.244 W+IMin+POD+BIO
P_exp 988.244 W+IMin+POD+FC
P_exp 767.441 W+IMin+POD+IMin+BIO+FC
P_exp 767.441 W+IMin+POD+IMin+BIO
P_exp 767.441 W+IMin+POD+IMin+FC
Boiler 0.0 S+POD+BIO+FC
Boiler 0.0 S+POD+BIO
Boiler 0.0 S+POD+FC
Boiler 0.0 S+POD+IMin+BIO+FC
Boiler 0.0 S+POD+IMin+BIO
Boiler 0.0 S+POD+IMin+FC
Boiler 0.0 S+IMin+POD+BIO+FC
Boiler 0.0 S+IMin+POD+BIO
Boiler 0.0 S+IMin+POD+FC
Boiler 0.0 S+IMin+POD+IMin+BIO+FC
Boiler 0.0 S+IMin+POD+IMin+BIO
Boiler 0.0 S+IMin+POD+IMin+FC
Boiler 17164.725 W+POD+BIO+FC
Boiler 17164.725 W+POD+BIO
Boiler 17164.725 W+POD+FC
Boiler 73.299 W+POD+IMin+BIO+FC
Boiler 73.299 W+POD+IMin+BIO
Boiler 20.463 W+POD+IMin+FC
Boiler 3825.826 W+IMin+POD+BIO+FC
Boiler 3825.826 W+IMin+POD+BIO
Boiler 3825.826 W+IMin+POD+FC
Boiler 18.292 W+IMin+POD+IMin+BIO+FC
Boiler 18.292 W+IMin+POD+IMin+BIO
Boiler 18.292 W+IMin+POD+IMin+FC
V_bat_ch 858.947 S+POD+BIO+FC
V_bat_ch 853.561 S+POD+BIO
V_bat_ch 812.341 S+POD+FC
V_bat_ch 173.226 S+POD+IMin+BIO+FC
V_bat_ch 161.924 S+POD+IMin+BIO
V_bat_ch 173.226 S+POD+IMin+FC
V_bat_ch 890.896 S+IMin+POD+BIO+FC
V_bat_ch 890.896 S+IMin+POD+BIO
V_bat_ch 862.065 S+IMin+POD+FC
V_bat_ch 206.48 S+IMin+POD+IMin+BIO+FC
V_bat_ch 206.48 S+IMin+POD+IMin+BIO
V_bat_ch 242.502 S+IMin+POD+IMin+FC
V_bat_ch 1642.327 W+POD+BIO+FC
V_bat_ch 1642.327 W+POD+BIO
V_bat_ch 1642.327 W+POD+FC
V_bat_ch 1074.835 W+POD+IMin+BIO+FC
V_bat_ch 1074.835 W+POD+IMin+BIO
V_bat_ch 795.575 W+POD+IMin+FC
V_bat_ch 1247.446 W+IMin+POD+BIO+FC
V_bat_ch 1247.446 W+IMin+POD+BIO
V_bat_ch 1247.446 W+IMin+POD+FC
V_bat_ch 721.271 W+IMin+POD+IMin+BIO+FC
V_bat_ch 721.271 W+IMin+POD+IMin+BIO
V_bat_ch 721.271 W+IMin+POD+IMin+FC
V_bat_dis 816.0 S+POD+BIO+FC
V_bat_dis 810.883 S+POD+BIO
V_bat_dis 771.724 S+POD+FC
V_bat_dis 164.565 S+POD+IMin+BIO+FC
V_bat_dis 153.827 S+POD+IMin+BIO
V_bat_dis 164.565 S+POD+IMin+FC
V_bat_dis 846.351 S+IMin+POD+BIO+FC
V_bat_dis 846.351 S+IMin+POD+BIO
V_bat_dis 818.961 S+IMin+POD+FC
V_bat_dis 196.156 S+IMin+POD+IMin+BIO+FC
V_bat_dis 196.156 S+IMin+POD+IMin+BIO
V_bat_dis 214.401 S+IMin+POD+IMin+FC
V_bat_dis 1560.21 W+POD+BIO+FC
V_bat_dis 1560.21 W+POD+BIO
V_bat_dis 1560.21 W+POD+FC
V_bat_dis 1018.874 W+POD+IMin+BIO+FC
V_bat_dis 1018.874 W+POD+IMin+BIO
V_bat_dis 755.797 W+POD+IMin+FC
V_bat_dis 1185.074 W+IMin+POD+BIO+FC
V_bat_dis 1185.074 W+IMin+POD+BIO
V_bat_dis 1185.074 W+IMin+POD+FC
V_bat_dis 685.208 W+IMin+POD+IMin+BIO+FC
V_bat_dis 685.208 W+IMin+POD+IMin+BIO
V_bat_dis 685.208 W+IMin+POD+IMin+FC
Q_demand 8114.326 S+POD+BIO+FC
Q_demand 8114.326 S+POD+BIO
Q_demand 8114.326 S+POD+FC
Q_demand 8114.326 S+POD+IMin+BIO+FC
Q_demand 8114.326 S+POD+IMin+BIO
Q_demand 8114.326 S+POD+IMin+FC
Q_demand 8114.326 S+IMin+POD+BIO+FC
Q_demand 8114.326 S+IMin+POD+BIO
Q_demand 8114.326 S+IMin+POD+FC
Q_demand 8114.326 S+IMin+POD+IMin+BIO+FC
Q_demand 8114.326 S+IMin+POD+IMin+BIO
Q_demand 8114.326 S+IMin+POD+IMin+FC
Q_demand 32767.936 W+POD+BIO+FC
Q_demand 32767.936 W+POD+BIO
Q_demand 32767.936 W+POD+FC
Q_demand 32767.936 W+POD+IMin+BIO+FC
Q_demand 32767.936 W+POD+IMin+BIO
Q_demand 32767.936 W+POD+IMin+FC
Q_demand 32767.936 W+IMin+POD+BIO+FC
Q_demand 32767.936 W+IMin+POD+BIO
Q_demand 32767.936 W+IMin+POD+FC
Q_demand 32767.936 W+IMin+POD+IMin+BIO+FC
Q_demand 32767.936 W+IMin+POD+IMin+BIO
Q_demand 32767.936 W+IMin+POD+IMin+FC
Q_st 1932.319 S+POD+BIO+FC
Q_st 1932.319 S+POD+BIO
Q_st 1932.319 S+POD+FC
Q_st 1932.319 S+POD+IMin+BIO+FC
Q_st 1932.319 S+POD+IMin+BIO
Q_st 1932.319 S+POD+IMin+FC
Q_st 1932.319 S+IMin+POD+BIO+FC
Q_st 1932.319 S+IMin+POD+BIO
Q_st 1932.319 S+IMin+POD+FC
Q_st 1932.319 S+IMin+POD+IMin+BIO+FC
Q_st 1932.319 S+IMin+POD+IMin+BIO
Q_st 1932.319 S+IMin+POD+IMin+FC
Q_st 245.806 W+POD+BIO+FC
Q_st 245.806 W+POD+BIO
Q_st 245.806 W+POD+FC
Q_st 245.806 W+POD+IMin+BIO+FC
Q_st 245.806 W+POD+IMin+BIO
Q_st 245.806 W+POD+IMin+FC
Q_st 245.806 W+IMin+POD+BIO+FC
Q_st 245.806 W+IMin+POD+BIO
Q_st 245.806 W+IMin+POD+FC
Q_st 245.806 W+IMin+POD+IMin+BIO+FC
Q_st 245.806 W+IMin+POD+IMin+BIO
Q_st 245.806 W+IMin+POD+IMin+FC
Q_fc 0.0 S+POD+BIO+FC
Q_fc 0.0 S+POD+BIO
Q_fc 6336.245 S+POD+FC
Q_fc 7248.296 S+POD+IMin+BIO+FC
Q_fc 0.0 S+POD+IMin+BIO
Q_fc 7249.141 S+POD+IMin+FC
Q_fc 6336.245 S+IMin+POD+BIO+FC
Q_fc 0.0 S+IMin+POD+BIO
Q_fc 6336.245 S+IMin+POD+FC
Q_fc 7244.98 S+IMin+POD+IMin+BIO+FC
Q_fc 0.0 S+IMin+POD+IMin+BIO
Q_fc 7245.731 S+IMin+POD+IMin+FC
Q_fc 15120.0 W+POD+BIO+FC
Q_fc 0.0 W+POD+BIO
Q_fc 15120.0 W+POD+FC
Q_fc 13665.678 W+POD+IMin+BIO+FC
Q_fc 0.0 W+POD+IMin+BIO
Q_fc 14458.733 W+POD+IMin+FC
Q_fc 15120.0 W+IMin+POD+BIO+FC
Q_fc 0.0 W+IMin+POD+BIO
Q_fc 0.0 W+IMin+POD+FC
Q_fc 13923.332 W+IMin+POD+IMin+BIO+FC
Q_fc 0.0 W+IMin+POD+IMin+BIO
Q_fc 0.0 W+IMin+POD+IMin+FC
Q_bio 6200.356 S+POD+BIO+FC
Q_bio 6200.528 S+POD+BIO
Q_bio 0.0 S+POD+FC
Q_bio 0.0 S+POD+IMin+BIO+FC
Q_bio 7309.714 S+POD+IMin+BIO
Q_bio 0.0 S+POD+IMin+FC
Q_bio 0.0 S+IMin+POD+BIO+FC
Q_bio 0.0 S+IMin+POD+BIO
Q_bio 0.0 S+IMin+POD+FC
Q_bio 0.0 S+IMin+POD+IMin+BIO+FC
Q_bio 0.0 S+IMin+POD+IMin+BIO
Q_bio 0.0 S+IMin+POD+IMin+FC
Q_bio 0.0 W+POD+BIO+FC
Q_bio 0.0 W+POD+BIO
Q_bio 0.0 W+POD+FC
Q_bio 8412.305 W+POD+IMin+BIO+FC
Q_bio 8412.305 W+POD+IMin+BIO
Q_bio 0.0 W+POD+IMin+FC
Q_bio 13663.394 W+IMin+POD+BIO+FC
Q_bio 13663.394 W+IMin+POD+BIO
Q_bio 0.0 W+IMin+POD+FC
Q_bio 7418.849 W+IMin+POD+IMin+BIO+FC
Q_bio 7418.849 W+IMin+POD+IMin+BIO
Q_bio 0.0 W+IMin+POD+IMin+FC
Q_dh 0.0 S+POD+BIO+FC
Q_dh 0.0 S+POD+BIO
Q_dh 0.0 S+POD+FC
Q_dh 0.803 S+POD+IMin+BIO+FC
Q_dh 0.0 S+POD+IMin+BIO
Q_dh 0.0 S+POD+IMin+FC
Q_dh 0.0 S+IMin+POD+BIO+FC
Q_dh 0.0 S+IMin+POD+BIO
Q_dh 0.0 S+IMin+POD+FC
Q_dh 62.886 S+IMin+POD+IMin+BIO+FC
Q_dh 62.886 S+IMin+POD+IMin+BIO
Q_dh 0.0 S+IMin+POD+IMin+FC
Q_dh 506.171 W+POD+BIO+FC
Q_dh 506.171 W+POD+BIO
Q_dh 506.171 W+POD+FC
Q_dh 10206.874 W+POD+IMin+BIO+FC
Q_dh 10206.874 W+POD+IMin+BIO
Q_dh 15348.553 W+POD+IMin+FC
Q_dh 0.0 W+IMin+POD+BIO+FC
Q_dh 0.0 W+IMin+POD+BIO
Q_dh 0.0 W+IMin+POD+FC
Q_dh 10783.435 W+IMin+POD+IMin+BIO+FC
Q_dh 10783.435 W+IMin+POD+IMin+BIO
Q_dh 10783.435 W+IMin+POD+IMin+FC
V_tes_ch 366.977 S+POD+BIO+FC
V_tes_ch 370.415 S+POD+BIO
V_tes_ch 2974.458 S+POD+FC
V_tes_ch 4621.397 S+POD+IMin+BIO+FC
V_tes_ch 5301.702 S+POD+IMin+BIO
V_tes_ch 4622.242 S+POD+IMin+FC
V_tes_ch 2974.458 S+IMin+POD+BIO+FC
V_tes_ch 2974.458 S+IMin+POD+BIO
V_tes_ch 2974.458 S+IMin+POD+FC
V_tes_ch 4617.162 S+IMin+POD+IMin+BIO+FC
V_tes_ch 4617.162 S+IMin+POD+IMin+BIO
V_tes_ch 4570.101 S+IMin+POD+IMin+FC
V_tes_ch 5375.321 W+POD+BIO+FC
V_tes_ch 5375.321 W+POD+BIO
V_tes_ch 5375.321 W+POD+FC
V_tes_ch 249.078 W+POD+IMin+BIO+FC
V_tes_ch 249.078 W+POD+IMin+BIO
V_tes_ch 1334.317 W+POD+IMin+FC
V_tes_ch 1700.051 W+IMin+POD+BIO+FC
V_tes_ch 1700.051 W+IMin+POD+BIO
V_tes_ch 1700.051 W+IMin+POD+FC
V_tes_ch 190.473 W+IMin+POD+IMin+BIO+FC
V_tes_ch 190.473 W+IMin+POD+IMin+BIO
V_tes_ch 190.473 W+IMin+POD+IMin+FC
V_tes_dis 348.628 S+POD+BIO+FC
V_tes_dis 351.894 S+POD+BIO
V_tes_dis 2820.22 S+POD+FC
V_tes_dis 3554.306 S+POD+IMin+BIO+FC
V_tes_dis 4173.995 S+POD+IMin+BIO
V_tes_dis 3555.109 S+POD+IMin+FC
V_tes_dis 2820.22 S+IMin+POD+BIO+FC
V_tes_dis 2820.22 S+IMin+POD+BIO
V_tes_dis 2820.22 S+IMin+POD+FC
V_tes_dis 3491.304 S+IMin+POD+IMin+BIO+FC
V_tes_dis 3491.304 S+IMin+POD+IMin+BIO
V_tes_dis 3506.378 S+IMin+POD+IMin+FC
V_tes_dis 5106.555 W+POD+BIO+FC
V_tes_dis 5106.555 W+POD+BIO
V_tes_dis 5106.555 W+POD+FC
V_tes_dis 215.052 W+POD+IMin+BIO+FC
V_tes_dis 215.052 W+POD+IMin+BIO
V_tes_dis 1256.697 W+POD+IMin+FC
V_tes_dis 1612.96 W+IMin+POD+BIO+FC
V_tes_dis 1612.96 W+IMin+POD+BIO
V_tes_dis 1612.96 W+IMin+POD+FC
V_tes_dis 172.694 W+IMin+POD+IMin+BIO+FC
V_tes_dis 172.694 W+IMin+POD+IMin+BIO
V_tes_dis 172.694 W+IMin+POD+IMin+FC
P_demand 17712.587 S+PON+BIO+FC
P_demand 17712.587 S+PON+BIO
P_demand 17712.587 S+PON+FC
P_demand 17712.587 S+PON+IMin+BIO+FC
P_demand 17712.587 S+PON+IMin+BIO
P_demand 17712.587 S+PON+IMin+FC
P_demand 17712.587 S+IMin+PON+BIO+FC
P_demand 17712.587 S+IMin+PON+BIO
P_demand 17712.587 S+IMin+PON+FC
P_demand 17712.587 S+IMin+PON+IMin+BIO+FC
P_demand 17712.587 S+IMin+PON+IMin+BIO
P_demand 17712.587 S+IMin+PON+IMin+FC
P_demand 17878.369 W+PON+BIO+FC
P_demand 17878.369 W+PON+BIO
P_demand 17878.369 W+PON+FC
P_demand 17878.369 W+PON+IMin+BIO+FC
P_demand 17878.369 W+PON+IMin+BIO
P_demand 17878.369 W+PON+IMin+FC
P_demand 17878.369 W+IMin+PON+BIO+FC
P_demand 17878.369 W+IMin+PON+BIO
P_demand 17878.369 W+IMin+PON+FC
P_demand 17878.369 W+IMin+PON+IMin+BIO+FC
P_demand 17878.369 W+IMin+PON+IMin+BIO
P_demand 17878.369 W+IMin+PON+IMin+FC
P_pv 1593.219 S+PON+BIO+FC
P_pv 1593.219 S+PON+BIO
P_pv 1593.219 S+PON+FC
