c n x y
Power1 Emission_costs 0 W+POD+FC
Power1 LCOE 0.06319065712101454 W+POD+FC
Power2 Invest 0.0 W+POD+FC
Power2 Fuel 0.0 W+POD+FC
Power2 Maint 0.0 W+POD+FC
Power2 Certificates 0 W+POD+FC
Power2 Grid_Tariffs 0 W+POD+FC
Power2 Emission_costs 0 W+POD+FC
Power2 LCOE 0.0 W+POD+FC
Heat1 Invest 0.0 W+POD+FC
Heat1 Fuel 0.0 W+POD+FC
Heat1 Maint 0.0 W+POD+FC
Heat1 Certificates 0 W+POD+FC
Heat1 Grid_Tariffs 0 W+POD+FC
Heat1 Emission_costs 0 W+POD+FC
Heat1 LCOE 0.0 W+POD+FC
PV Invest 41.55027117545384 W+POD+FC
PV Fuel 0 W+POD+FC
PV Maint 26.63013698630137 W+POD+FC
PV Certificates 0 W+POD+FC
PV Grid_Tariffs 0 W+POD+FC
PV Emission_costs 0 W+POD+FC
PV LCOE 0.2507370114804178 W+POD+FC
ST Invest 62.95495632644522 W+POD+FC
ST Fuel 0 W+POD+FC
ST Maint 8.63013698630137 W+POD+FC
ST Certificates 0 W+POD+FC
ST Grid_Tariffs 0 W+POD+FC
ST Emission_costs 0 W+POD+FC
ST LCOE 0.4227549359992122 W+POD+FC
ElGrid Invest 0 W+POD+FC
ElGrid Fuel 0 W+POD+FC
ElGrid Maint 0 W+POD+FC
ElGrid Certificates 0 W+POD+FC
ElGrid Grid_Tariffs 0 W+POD+FC
ElGrid Emission_costs 0 W+POD+FC
ElGrid LCOE 0.1044149795154536 W+POD+FC
DH Invest 0 W+POD+FC
DH Fuel 0 W+POD+FC
DH Maint 0 W+POD+FC
DH Certificates 0 W+POD+FC
DH Grid_Tariffs 0 W+POD+FC
DH Emission_costs 0 W+POD+FC
DH LCOE 3.628469388333005 W+POD+FC
Total Invest 584.028 S+POD+BIO
Total Fuel 416.537 S+POD+BIO
Total Maint 178.274 S+POD+BIO
Total Import 834.206 S+POD+BIO
Total Export 0.0 S+POD+BIO
Total Certificates 4.217 S+POD+BIO
Total DH 7.192 S+POD+BIO
Total Grid_Tariffs 207.794 S+POD+BIO
Total Emission_costs 93.241 S+POD+BIO
Total Total_cost 1969.783 S+POD+BIO
Total Emissions 243559.552 S+POD+BIO
Total LCOE 0.0 S+POD+BIO
Power1 Invest 0.0 S+POD+BIO
Power1 Fuel 0.0 S+POD+BIO
Power1 Maint 0.0 S+POD+BIO
Power1 Certificates 0 S+POD+BIO
Power1 Grid_Tariffs 0 S+POD+BIO
Power1 Emission_costs 0 S+POD+BIO
Power1 LCOE 0.0 S+POD+BIO
Power2 Invest 225.4927410057708 S+POD+BIO
Power2 Fuel 416.5366195238722 S+POD+BIO
Power2 Maint 143.013698630137 S+POD+BIO
Power2 Certificates 0 S+POD+BIO
Power2 Grid_Tariffs 0 S+POD+BIO
Power2 Emission_costs 0 S+POD+BIO
Power2 LCOE 0.0883112727554733 S+POD+BIO
Heat1 Invest 0.0 S+POD+BIO
Heat1 Fuel 0.0 S+POD+BIO
Heat1 Maint 0.0 S+POD+BIO
Heat1 Certificates 0 S+POD+BIO
Heat1 Grid_Tariffs 0 S+POD+BIO
Heat1 Emission_costs 0 S+POD+BIO
Heat1 LCOE 0.0 S+POD+BIO
PV Invest 41.55027117545384 S+POD+BIO
PV Fuel 0 S+POD+BIO
PV Maint 26.63013698630137 S+POD+BIO
PV Certificates 0 S+POD+BIO
PV Grid_Tariffs 0 S+POD+BIO
PV Emission_costs 0 S+POD+BIO
PV LCOE 0.03233582395234321 S+POD+BIO
ST Invest 62.95495632644522 S+POD+BIO
ST Fuel 0 S+POD+BIO
ST Maint 8.63013698630137 S+POD+BIO
ST Certificates 0 S+POD+BIO
ST Grid_Tariffs 0 S+POD+BIO
ST Emission_costs 0 S+POD+BIO
ST LCOE 0.04853818995724672 S+POD+BIO
ElGrid Invest 0 S+POD+BIO
ElGrid Fuel 0 S+POD+BIO
ElGrid Maint 0 S+POD+BIO
ElGrid Certificates 0 S+POD+BIO
ElGrid Grid_Tariffs 0 S+POD+BIO
ElGrid Emission_costs 0 S+POD+BIO
ElGrid LCOE 0.08028160512548083 S+POD+BIO
DH Invest 0 S+POD+BIO
DH Fuel 0 S+POD+BIO
DH Maint 0 S+POD+BIO
DH Certificates 0 S+POD+BIO
DH Grid_Tariffs 0 S+POD+BIO
DH Emission_costs 0 S+POD+BIO
DH LCOE 0.004876378691581221 S+POD+BIO
Total Invest 603.079 S+POD+BIO+FC
Total Fuel 707.98 S+POD+BIO+FC
Total Maint 110.792 S+POD+BIO+FC
Total Import 531.561 S+POD+BIO+FC
Total Export 0.0 S+POD+BIO+FC
Total Certificates 4.217 S+POD+BIO+FC
Total DH 7.192 S+POD+BIO+FC
Total Grid_Tariffs 207.794 S+POD+BIO+FC
Total Emission_costs 0.0 S+POD+BIO+FC
Total Total_cost 1910.151 S+POD+BIO+FC
Total Emissions 134737.99 S+POD+BIO+FC
Total LCOE 0.0 S+POD+BIO+FC
Power1 Invest 244.5439392393027 S+POD+BIO+FC
Power1 Fuel 707.9796523998223 S+POD+BIO+FC
Power1 Maint 75.53213909378294 S+POD+BIO+FC
Power1 Certificates 0 S+POD+BIO+FC
Power1 Grid_Tariffs 0 S+POD+BIO+FC
Power1 Emission_costs 0 S+POD+BIO+FC
Power1 LCOE 0.07719822654445588 S+POD+BIO+FC
Power2 Invest 0.0 S+POD+BIO+FC
Power2 Fuel 0.0 S+POD+BIO+FC
Power2 Maint 0.0 S+POD+BIO+FC
Power2 Certificates 0 S+POD+BIO+FC
Power2 Grid_Tariffs 0 S+POD+BIO+FC
Power2 Emission_costs 0 S+POD+BIO+FC
Power2 LCOE 0.0 S+POD+BIO+FC
Heat1 Invest 0.0 S+POD+BIO+FC
Heat1 Fuel 0.0 S+POD+BIO+FC
Heat1 Maint 0.0 S+POD+BIO+FC
Heat1 Certificates 0 S+POD+BIO+FC
Heat1 Grid_Tariffs 0 S+POD+BIO+FC
Heat1 Emission_costs 0 S+POD+BIO+FC
Heat1 LCOE 0.0 S+POD+BIO+FC
PV Invest 41.55027117545384 S+POD+BIO+FC
PV Fuel 0 S+POD+BIO+FC
PV Maint 26.63013698630137 S+POD+BIO+FC
PV Certificates 0 S+POD+BIO+FC
PV Grid_Tariffs 0 S+POD+BIO+FC
PV Emission_costs 0 S+POD+BIO+FC
PV LCOE 0.03233582395234321 S+POD+BIO+FC
ST Invest 62.95495632644522 S+POD+BIO+FC
ST Fuel 0 S+POD+BIO+FC
ST Maint 8.63013698630137 S+POD+BIO+FC
ST Certificates 0 S+POD+BIO+FC
ST Grid_Tariffs 0 S+POD+BIO+FC
ST Emission_costs 0 S+POD+BIO+FC
ST LCOE 0.04853818995724672 S+POD+BIO+FC
ElGrid Invest 0 S+POD+BIO+FC
ElGrid Fuel 0 S+POD+BIO+FC
ElGrid Maint 0 S+POD+BIO+FC
ElGrid Certificates 0 S+POD+BIO+FC
ElGrid Grid_Tariffs 0 S+POD+BIO+FC
ElGrid Emission_costs 0 S+POD+BIO+FC
ElGrid LCOE 0.08566072653128413 S+POD+BIO+FC
DH Invest 0 S+POD+BIO+FC
DH Fuel 0 S+POD+BIO+FC
DH Maint 0 S+POD+BIO+FC
DH Certificates 0 S+POD+BIO+FC
DH Grid_Tariffs 0 S+POD+BIO+FC
DH Emission_costs 0 S+POD+BIO+FC
DH LCOE 0.004876378691581225 S+POD+BIO+FC
Total Invest 603.079 S+POD+FC
Total Fuel 710.302 S+POD+FC
Total Maint 110.792 S+POD+FC
Total Import 529.3 S+POD+FC
Total Export 0.0 S+POD+FC
Total Certificates 4.217 S+POD+FC
Total DH 7.192 S+POD+FC
Total Grid_Tariffs 207.794 S+POD+FC
Total Emission_costs 0.0 S+POD+FC
